time,open,high,low,close,Plot,Volume,Volume MA
1578510000,1.31033,1.31033,1.30978,1.31012,1.3112529405125872,771,2064.9
1578513600,1.31012,1.31032,1.30976,1.30982,1.3110482347250747,647,2018.8
1578517200,1.30982,1.30994,1.30942,1.30945,1.3108199154786355,416,1986.3
1578520800,1.30945,1.31036,1.30945,1.31013,1.3107213561245448,88,1931
1578524400,1.31013,1.31057,1.30972,1.31056,1.3106983052496097,334,1899.6
1578528000,1.31056,1.31126,1.31033,1.31096,1.310735690213951,779,1912.85
1578531600,1.31096,1.31143,1.31043,1.31123,1.3108063058976724,421,1900.7
1578535200,1.31123,1.31124,1.31044,1.31092,1.3108225479122908,321,1881.7
1578538800,1.31092,1.31114,1.31061,1.31063,1.3107950410676779,244,1762.65
1578542400,1.31063,1.31092,1.31049,1.31092,1.310812892343724,222,1568.85
1578546000,1.31092,1.31192,1.31092,1.31169,1.3109381934374778,277,1429.05
1578549600,1.31169,1.3124,1.31081,1.3111,1.3109613086606953,618,1229.3
1578553200,1.3111,1.31191,1.31013,1.3114,1.3110239788520244,1658,1168.5
1578556800,1.3114,1.3114,1.30852,1.30878,1.3107034104445923,2784,1148.05
1578560400,1.30878,1.3092,1.30178,1.30277,1.3095700660953649,7229,1375.05
1578564000,1.30277,1.30437,1.30196,1.3043,1.3088171995103128,3416,1423.5
1578567600,1.3043,1.30516,1.30137,1.30198,1.3078404567231254,2783,1431.15
1578571200,1.30198,1.30411,1.3013,1.30376,1.3072575343341075,2772,1425.2
1578574800,1.30376,1.30694,1.30224,1.30525,1.3069707437149494,2809,1472.4
1578578400,1.30525,1.30586,1.30368,1.30496,1.3066834946128139,2080,1533.45
1578582000,1.30496,1.30542,1.30336,1.30488,1.306425852525269,1727,1581.25
1578585600,1.30488,1.30693,1.30436,1.30684,1.3064850164502304,1774,1637.6
1578589200,1.30684,1.3069,1.30607,1.30614,1.3064357283859118,975,1665.55
1578592800,1.30614,1.30642,1.3055,1.30554,1.3063077671879244,1747,1748.5
1578596400,1.30554,1.30593,1.30543,1.30573,1.306225229018221,630,1763.3
1578600000,1.30573,1.30674,1.30571,1.30666,1.306287339158475,554,1752.05
1578603600,1.30666,1.30683,1.30629,1.30672,1.3063491478501217,166,1739.3
1578607200,1.30672,1.30685,1.30645,1.30685,1.3064206981572473,34,1724.95
1578610800,1.30685,1.30712,1.30673,1.30697,1.306499169849069,178,1721.65
1578614400,1.30697,1.30726,1.30663,1.30681,1.306543574156345,429,1732
1578618000,1.30681,1.30696,1.30603,1.30638,1.3065202064197243,351,1735.7
1578621600,1.30638,1.3067,1.30606,1.3066,1.3065316055026208,246,1717.1
1578625200,1.3066,1.3069,1.30656,1.30688,1.3065813761451035,151,1641.75
1578628800,1.30688,1.3082,1.30667,1.30768,1.3067383224100888,371,1521.1
1578632400,1.30768,1.30838,1.3073,1.3083,1.3069614192086476,349,1177.1
1578636000,1.3083,1.30918,1.30804,1.30848,1.307178359321698,566,1034.6
1578639600,1.30848,1.30874,1.30556,1.306,1.3070100222757408,1446,967.75
1578643200,1.306,1.30719,1.30486,1.30672,1.3069685905220634,2506,954.45
1578646800,1.30672,1.30888,1.3051,1.30682,1.3069473633046258,4723,1050.15
1578650400,1.30682,1.30729,1.30505,1.30564,1.3067605971182508,3281,1110.2
1578654000,1.30564,1.30808,1.30542,1.30734,1.3068433689585006,1996,1123.65
1578657600,1.30734,1.30884,1.3072,1.30844,1.3070714591072863,1516,1110.75
1578661200,1.30844,1.30971,1.30652,1.30697,1.3070569649491026,3301,1227.05
1578664800,1.30697,1.30734,1.30558,1.30653,1.3069816842420878,2568,1268.1
1578668400,1.30653,1.30781,1.30571,1.30614,1.3068614436360753,2397,1356.45
1578672000,1.30614,1.30626,1.30425,1.30588,1.3067212374023502,2024,1429.95
1578675600,1.30588,1.307,1.3052,1.30619,1.3066453463448717,1323,1487.8
1578679200,1.30619,1.3064,1.30546,1.30553,1.3064860111527474,686,1520.4
1578682800,1.30553,1.30633,1.30539,1.30622,1.3064480095594977,678,1545.4
1578686400,1.30622,1.30626,1.30538,1.30558,1.306324008193855,660,1556.95
1578690000,1.30558,1.30653,1.3054,1.30632,1.3063234355947329,502,1564.5
1578866400,1.30632,1.30632,1.30339,1.30371,1.3059500876526282,198,1562.1
1578870000,1.30371,1.30445,1.30346,1.3044,1.3057286465593954,255,1567.3
1578873600,1.3044,1.30452,1.30362,1.3037,1.305438839908053,307,1564.1
1578877200,1.3037,1.30394,1.30324,1.30394,1.3052247199211884,313,1562.3
1578880800,1.30394,1.30394,1.30334,1.30346,1.3049726170753042,227,1545.35
1578884400,1.30346,1.30404,1.30314,1.30398,1.304830814635975,307,1488.4
1578888000,1.30398,1.30414,1.30362,1.30362,1.30465784111655,403,1383.25
1578891600,1.30362,1.30362,1.30256,1.3033,1.3044638638141854,390,1166.6
1578895200,1.3033,1.30332,1.3022,1.30276,1.304220454697873,463,1025.7
1578898800,1.30276,1.30276,1.29952,1.3001,1.3036318183124627,2569,1054.35
1578902400,1.3001,1.30082,1.29854,1.3002,1.3031415585535395,2589,1108
1578906000,1.3002,1.30082,1.29656,1.29728,1.3023041930458912,3952,1140.55
1578909600,1.29728,1.29946,1.29613,1.29847,1.3017564511821926,2459,1135.1
1578913200,1.29847,1.2989,1.29654,1.29656,1.301014101013308,2111,1120.8
1578916800,1.29656,1.298,1.29612,1.29763,1.3005306580114069,2056,1122.4
1578920400,1.29763,1.29926,1.29711,1.29846,1.300234849724063,2210,1166.75
1578924000,1.29846,1.2999,1.29812,1.29948,1.300127014049197,2556,1260.25
1578927600,1.29948,1.29948,1.29754,1.29787,1.2998045834707401,2360,1344.35
1578931200,1.29787,1.2991,1.29754,1.29832,1.2995925001177773,1480,1385.35
1578934800,1.29832,1.29974,1.29793,1.29956,1.299587857243809,1022,1411.35
1578938400,1.29956,1.29976,1.29904,1.29963,1.2995938776375506,797,1441.3
1578942000,1.29963,1.30012,1.2994,1.29984,1.2996290379750433,553,1456.2
1578945600,1.29984,1.30034,1.29948,1.29954,1.299616318264323,692,1475.45
1578949200,1.29954,1.29956,1.29866,1.29866,1.2994797013694197,539,1486.75
1578952800,1.29866,1.29944,1.29866,1.29914,1.2994311726023597,70,1478.9
1578956400,1.29914,1.29935,1.29863,1.29863,1.2993167193734512,218,1474.45
1578960000,1.29863,1.29957,1.29863,1.29948,1.2993400451772439,429,1475.75
1578963600,1.29948,1.30007,1.29885,1.29917,1.2993157530090662,856,1499.05
1578967200,1.29917,1.30026,1.29886,1.29988,1.2993963597220568,591,1505.45
1578970800,1.29988,1.30002,1.29904,1.29907,1.29934973690462,332,1393.6
1578974400,1.29907,1.29964,1.29898,1.29948,1.299368345918246,281,1278.2
1578978000,1.29948,1.29958,1.29884,1.29886,1.2992957250727823,297,1095.45
1578981600,1.29886,1.2994,1.29869,1.29878,1.299222050062385,628,1003.9
1578985200,1.29878,1.29878,1.29652,1.29793,1.2990374714820443,1842,990.45
1578988800,1.29793,1.29832,1.29544,1.29711,1.2987621184131808,2877,1031.5
1578992400,1.29711,1.29738,1.29626,1.29724,1.2985446729255836,1573,999.65
1578996000,1.29724,1.29872,1.29672,1.29853,1.2985425767933574,1420,942.85
1578999600,1.29853,1.30143,1.29792,1.29985,1.2987293515371634,2921,970.9
1579003200,1.29985,1.30014,1.29736,1.29756,1.2985623013175687,2334,1013.6
1579006800,1.29756,1.2994,1.29736,1.29906,1.2986334011293448,2695,1097.25
1579010400,1.29906,1.30054,1.29874,1.30026,1.2988657723965813,2943,1204.55
1579014000,1.30026,1.30146,1.29934,1.30102,1.2991735191970695,3745,1364.15
1579017600,1.30102,1.30181,1.30004,1.3016,1.2995201593117738,1683,1413.7
1579021200,1.3016,1.3025,1.30134,1.30216,1.2998972794100918,864,1429.95
1579024800,1.30216,1.30308,1.30216,1.30266,1.3002919537800786,1061,1479.5
1579028400,1.30266,1.30332,1.30258,1.3027,1.3006359603829245,738,1505.5
1579032000,1.3027,1.30278,1.30207,1.3021,1.3008451088996495,580,1513.05
1579035600,1.3021,1.30235,1.30168,1.30193,1.3010000933425567,234,1481.95
1579039200,1.30193,1.30222,1.30188,1.30221,1.301172937150763,124,1458.6
1579042800,1.30221,1.30224,1.30194,1.30212,1.301308231843511,113,1447.65
1579046400,1.30212,1.30244,1.30144,1.30186,1.3013870558658664,475,1457.35
1579050000,1.30186,1.30242,1.30175,1.30237,1.3015274764564568,312,1458.1
1579053600,1.30237,1.30244,1.30191,1.30224,1.3016292655341057,291,1441.25
1579057200,1.30224,1.30249,1.30212,1.30245,1.3017465133149477,222,1360.25
1579060800,1.30245,1.30294,1.30245,1.3028,1.3018970114128123,172,1225
1579064400,1.3028,1.30337,1.30265,1.3033,1.302097438353839,237,1158.2
1579068000,1.3033,1.30426,1.30282,1.30334,1.3022749471604336,629,1118.65
1579071600,1.30334,1.30374,1.30166,1.302,1.3022356689946573,1153,1030.25
1579075200,1.302,1.30207,1.30008,1.30176,1.3021677162811347,2718,1049.45
1579078800,1.30176,1.30207,1.29848,1.29914,1.3017351853838297,3255,1077.45
1579082400,1.29914,1.30084,1.29882,1.30071,1.3015887303289968,1540,1007.3
1579086000,1.30071,1.30292,1.30046,1.30152,1.3015789117105687,2276,933.85
1579089600,1.30152,1.30156,1.30003,1.30062,1.3014419243233448,1413,920.35
1579093200,1.30062,1.30108,1.3001,1.30088,1.3013616494200098,2275,990.9
1579096800,1.30088,1.30364,1.30075,1.30312,1.3016128423600084,2683,1072
1579100400,1.30312,1.30312,1.30094,1.30224,1.3017024363085787,2356,1152.9
1579104000,1.30224,1.30294,1.30199,1.30282,1.301862088264496,1572,1202.5
