time,open,high,low,close
1645428600,1890.525,1892.69,1890.285,1890.99
1645429500,1890.99,1892.8,1890.825,1891.725
1645430400,1891.725,1894.366,1891.39,1893.57
1645431300,1893.57,1894.166,1892.27,1893.54
1645432200,1893.54,1896.875,1893.095,1895.715
1645433100,1895.715,1897.75,1895.35,1896.17
1645434000,1896.17,1898.395,1895.74,1897.31
1645434900,1897.31,1898.16,1895.24,1895.515
1645435800,1895.515,1895.88,1894.585,1895.045
1645436700,1895.045,1896.355,1894.895,1896.355
1645437600,1896.355,1897.44,1896.12,1897.105
1645438500,1897.105,1897.63,1896.495,1896.72
1645439400,1896.72,1897.276,1895.235,1897.11
1645440300,1897.11,1898.39,1896.68,1897.43
1645441200,1897.43,1897.66,1896.455,1896.555
1645442100,1896.555,1897.655,1896.1,1897.005
1645443000,1897.005,1898.74,1895.965,1897.89
1645443900,1897.89,1898.1,1894.435,1894.695
1645444800,1894.695,1894.835,1892.48,1893.845
1645445700,1893.845,1895.025,1893.76,1894.575
1645446600,1894.575,1896.846,1893.285,1895.176
1645447500,1895.176,1897.425,1894.285,1897.25
1645448400,1897.25,1897.59,1895.43,1896.73
1645449300,1896.73,1897.485,1894.07,1896.75
1645450200,1896.75,1897.05,1894.615,1895.39
1645451100,1895.39,1897.55,1894.386,1895.99
1645452000,1895.99,1896.505,1893.764,1894.275
1645452900,1894.275,1894.59,1892.52,1893.965
1645453800,1893.965,1895.055,1893.215,1895.055
1645454700,1895.055,1897.105,1894.785,1895.14
1645455600,1895.14,1895.57,1893.965,1894.13
1645456500,1894.13,1894.515,1892.895,1893.715
1645457400,1893.715,1896.3,1893.575,1895.52
1645458300,1895.52,1895.99,1895.025,1895.465
1645459200,1895.465,1896.88,1895.46,1896.74
1645460100,1896.74,1897.17,1895.805,1896.485
1645461000,1896.485,1896.615,1895.75,1896.44
1645461900,1896.44,1896.67,1895.84,1896.56
1645462800,1896.56,1896.615,1895.79,1896.06
1645463700,1896.06,1897.015,1895.725,1896.235
1645464600,1896.235,1897.165,1895.93,1897.165
1645465500,1897.165,1897.86,1897.085,1897.81
1645466400,1897.81,1899.74,1896.655,1898.745
1645467300,1898.745,1900.29,1898.42,1900.23
1645468200,1900.23,1902.215,1899.92,1900.115
1645469100,1900.115,1905.2,1900.11,1904.945
1645470000,1904.945,1905.816,1901.29,1904.005
1645470900,1904.005,1906.075,1903.51,1904.035
1645484400,1904.035,1914.32,1904.035,1912.275
1645485300,1912.275,1913.256,1909.865,1910.05
1645486200,1910.05,1910.985,1908.085,1910.49
1645487100,1910.49,1911.23,1908.29,1909.53
1645488000,1909.53,1913.715,1909.46,1913.415
1645488900,1913.415,1914.026,1910.526,1910.87
1645489800,1910.87,1911.095,1909.22,1909.91
1645490700,1909.91,1910.035,1907.355,1908.165
1645491600,1908.165,1909.956,1905.445,1906.365
1645492500,1906.365,1907.83,1905.37,1907.155
1645493400,1907.155,1911.206,1906.49,1910.065
1645494300,1910.065,1910.16,1908.175,1909.49
1645495200,1909.49,1909.7,1906.435,1906.53
1645496100,1906.53,1909.695,1906.53,1908.93
1645497000,1908.93,1909.156,1907.514,1908.42
1645497900,1908.42,1909.795,1907.725,1909.55
1645498800,1909.55,1910.4,1908.77,1908.795
1645499700,1908.795,1909.926,1908.675,1909.705
1645500600,1909.705,1910.215,1908.535,1909.345
1645501500,1909.345,1909.88,1908.185,1908.56
1645502400,1908.56,1908.775,1908.25,1908.35
1645503300,1908.35,1908.96,1908.07,1908.125
1645504200,1908.125,1908.84,1907.35,1908.42
1645505100,1908.42,1908.53,1907.365,1907.925
1645506000,1907.925,1908.535,1907.52,1908.295
1645506900,1908.295,1908.925,1908.105,1908.215
1645507800,1908.215,1909.765,1908.035,1909.475
1645508700,1909.475,1910.37,1908.92,1910.22
1645509600,1910.22,1911.335,1909.645,1909.86
1645510500,1909.86,1910.125,1909.18,1909.86
1645511400,1909.86,1910.6,1908.725,1909.16
1645512300,1909.16,1910.316,1908.545,1910.05
1645513200,1910.05,1912.195,1909.925,1911.445
1645514100,1911.445,1913.414,1910.38,1912.315
1645515000,1912.315,1912.506,1910.88,1911.505
1645515900,1911.505,1911.726,1907.37,1908.75
1645516800,1908.75,1911.775,1907.235,1910.78
1645517700,1910.78,1911.09,1903.926,1904.82
1645518600,1904.82,1905.406,1901.795,1904.215
1645519500,1904.215,1904.515,1895.925,1896.52
1645520400,1896.52,1900.266,1896.43,1900.18
1645521300,1900.18,1901.716,1897.485,1900.945
1645522200,1900.945,1902.12,1899.105,1900.295
1645523100,1900.295,1900.935,1899,1900.645
1645524000,1900.645,1901.2,1899.156,1899.6
1645524900,1899.6,1899.96,1894.775,1897.005
1645525800,1897.005,1897.755,1894.304,1896.28
1645526700,1896.28,1896.96,1894.02,1896.565
1645527600,1896.565,1898.255,1894.676,1896.94
1645528500,1896.94,1897.415,1893.26,1894.485
1645529400,1894.485,1897.685,1894.485,1894.935
1645530300,1894.935,1895.065,1891.47,1893.925
1645531200,1893.925,1896.46,1893.825,1895.945
1645532100,1895.945,1897.665,1895.14,1897.01
1645533000,1897.01,1900.276,1896.88,1899.07
1645533900,1899.07,1899.765,1898.34,1899.55
1645534800,1899.55,1900,1897.935,1899.315
1645535700,1899.315,1902.736,1898.66,1902.36
1645536600,1902.36,1906.02,1900.715,1901.775
1645537500,1901.775,1903.045,1900.995,1902.31
1645538400,1902.31,1904.17,1901.745,1903.74
1645539300,1903.74,1904.575,1902.585,1902.9
1645540200,1902.9,1907.266,1902.515,1903.46
1645541100,1903.46,1903.566,1900.91,1901.57
1645542000,1901.57,1903.376,1897.135,1899.525
1645542900,1899.525,1899.965,1896.615,1896.73
1645543800,1896.73,1899.655,1896.17,1898.15
1645544700,1898.15,1898.44,1893.945,1897.985
1645545600,1897.985,1899.61,1896.905,1899.555
1645546500,1899.555,1901.65,1899.44,1901.635
1645547400,1901.635,1903.41,1900.495,1902.01
1645548300,1902.01,1903.63,1902.01,1903.325
1645549200,1903.325,1903.68,1902.44,1902.495
1645550100,1902.495,1903.97,1902.025,1903.31
1645551000,1903.31,1903.97,1902.84,1903.37
1645551900,1903.37,1904.52,1903.15,1903.455
1645552800,1903.455,1905.145,1902.87,1904.065
1645553700,1904.065,1905.76,1903.85,1905.44
1645554600,1905.44,1905.44,1903.11,1903.535
1645555500,1903.535,1903.89,1902.615,1903.6
1645556400,1903.6,1904.035,1902.87,1903.325
1645557300,1903.325,1904.625,1901.57,1902.385
1645558200,1902.385,1903.375,1900.214,1902.715
1645559100,1902.715,1902.976,1900.645,1901.645
1645560000,1901.645,1901.7,1897.7,1898.85
1645560900,1898.85,1901.07,1898.555,1900.1
1645561800,1900.1,1901.055,1899.995,1900.835
1645562700,1900.835,1901.42,1900.49,1900.656
1645563600,1900.656,1901.386,1899.5,1899.576
1645564500,1899.576,1899.605,1898.895,1899.425
1645565400,1899.425,1899.46,1899.08,1899.265
1645566300,1899.265,1899.265,1898.325,1898.405
1645570800,1898.405,1899.535,1898.405,1899.325
1645571700,1899.325,1899.61,1899.16,1899.445
1645572600,1899.445,1899.455,1898.575,1898.925
1645573500,1898.925,1898.925,1897.83,1898.26
1645574400,1898.26,1899.115,1897.875,1899.08
1645575300,1899.08,1899.395,1898.805,1899.225
1645576200,1899.225,1899.955,1899.225,1899.76
1645577100,1899.76,1900.515,1899.71,1900.49
1645578000,1900.49,1901.15,1899.775,1900.676
1645578900,1900.676,1900.89,1899.935,1900.45
1645579800,1900.45,1901.365,1898.715,1898.76
1645580700,1898.76,1899.325,1898.305,1898.36
1645581600,1898.36,1899.345,1898.315,1899.06
1645582500,1899.06,1900.25,1898.93,1898.965
1645583400,1898.965,1899.535,1898.21,1899.175
1645584300,1899.175,1899.916,1898.96,1899.685
1645585200,1899.685,1900.345,1899.18,1899.51
